I0127 02:43:36.347942    2677 serve.go:43] cloudcode_cli (Jan 14 2025 09:42:54 -0800, cl:715417153 baseline:711414959)
I0127 02:43:36.348981    2677 serve.go:44] Command line: ["/home/stevenlagadapati1012/.cache/cloud-code/cloudcode_cli/cloudcode_cli/linux_amd64/cloudcode_cli" "duet" "-logtostderr"]
I0127 02:43:36.351560    2677 life_cycle.go:166] Initializing. Architecture: "amd64", Operating system: "linux"
I0127 02:43:36.458689    2677 configuration.go:182] product updateChannel will be used
W0127 02:43:36.458752    2677 configuration.go:786] ignoring configuration value "ragl.topKTestFilesToInclude" with type float64, need int
W0127 02:43:36.458767    2677 configuration.go:786] ignoring configuration value "ragl.topKDocFilesToInclude" with type float64, need int
I0127 02:43:36.458783    2677 configuration.go:639] language thresholds: map[]
I0127 02:43:36.458801    2677 configuration.go:597] dataFileExtensions array: [.csv .tsv .jsonl]
I0127 02:43:36.458822    2677 configuration.go:839] atlas codeCompletion llm options: {MaxTokens:64 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc001458f99 StopSequences:map[] DataFilePromptLines:0}
I0127 02:43:36.458873    2677 configuration.go:839] atlas codeGeneration llm options: {MaxTokens:512 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc001458fa9 StopSequences:map[*:[[eod] [EOF] [pre] [suf] [mid]]] DataFilePromptLines:5}
I0127 02:43:36.459036    2677 configuration.go:267] Configured settings for atlasOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false,"Complete":{"MaxTokens":64,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":null,"DataFilePromptLines":0},"Generate":{"MaxTokens":512,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":{"*":["[eod]","[EOF]","[pre]","[suf]","[mid]"]},"DataFilePromptLines":5},"DataFileExtensions":[".csv",".tsv",".jsonl"]}
I0127 02:43:36.459073    2677 configuration.go:275] Configured settings for cloudCodeOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false}
I0127 02:43:36.459085    2677 configuration.go:279] Configured settings for opts: &{trace:false atlasAddr:cloudaicompanion.googleapis.com:443 cloudCodeAddr:cloudcode-pa.googleapis.com:443 cloudCodeQuotaProject: autoGen:false invokeGen:true codeCacheMaxEntries:1024 completionOpts:{debounce:300000000 throttle:100000000 minScoreThreshold:-6 languageThresholds:map[] enableThresholds:true commentCompletion:false citationLengthThreshold:-1 enableRecitations:true citationLogFilePath: repeatedStringFilterThreshold:60 otherFilesGenerationLimit:20 otherFilesGenerationSizeLimit:-1 otherFilesCompletionLimit:0 multiQueryTailNSForCompletion:[] multiQueryTailNSForGeneration:[]} contextExclusionFile:.aiexclude chatOpts:{contextOrdering:fsu maxFileBytes:75000 maxHistoryBytes:500000 escapeContext:false otherFilesLimit:20 otherFilesSizeLimit:-1 userSelectedFilesSizeLimit:-1} useRest:<nil> useCloudCodeAPI:true enableNotebooks:false enableRAGL:false enableRAGLCompletion:false enableRAGLChat:false ragLRerankByLangBoost:0 raglCoLocated:20 raglTotalFiles:250 raglFileLimit:524288 raglIncludeDocFiles:false raglIncludeUnitTestFile:false raglMaxFileSearchDepth:1 substringsToIdentifyTestPrompts:[test] substringsToIdentifyDocPrompts:[document comment] raglTopKTestFilesToInclude:0 raglTopKDocFilesToInclude:0}
I0127 02:43:36.459132    2677 configuration.go:281] Configured settings for canCancelRequests: true
I0127 02:43:36.459142    2677 configuration.go:283] Configured settings for contextPromptOpts: &{Endpoint:}
W0127 02:43:36.459828    2677 configuration.go:287] Failed to retrieve verboseLogging: configuration value not is not a string: false
I0127 02:44:51.189414    2677 handler.go:159] cancel was requested for: 5, needs to be canceled: false
I0127 02:44:51.189437    2677 handler.go:163] cancel requested for 5 but not found
E0127 02:44:54.864464    2677 retention.go:641] Failed to get offsets at range due to: start offset: invalid column number
E0127 02:44:54.864526    2677 retention.go:641] Failed to get offsets at range due to: start offset: invalid column number
W0127 02:44:54.864650    2677 retention.go:173] Could not get offsets for range in document. range: &{{42 38} {44 0}}, error: invalid column number
W0127 02:44:54.864692    2677 retention.go:173] Could not get offsets for range in document. range: &{{47 12} {47 67}}, error: invalid column number
I0127 02:45:36.460585    2677 life_cycle.go:297] codeReportEvery: recomputing codereport metric
I0127 02:53:36.460036    2677 life_cycle.go:261] codeReportBasicEvery: recomputing codereportbasic metric
